Character	Godzilla	Kong:Skull Island	Godzilla:King of the Monsters	Godzilla vs. Kong
Godzilla	T.J. StormS	Pictured with archive audio	T.J. StormS	CGI
MUTO	Matt CrossSLee RossS		CGI	Archive footage
King Kong		Terry NotarySToby KebbellS	Archive footage	Eric PeteyS[57]
King Ghidorah		Pictured	Jason LilesSAlan MaxsonSRichard DortonS	Archive footage
Rodan		Pictured	Jason LilesS	Archive footage
Ishiro Serizawa	Ken Watanabe		Ken Watanabe	
Vivienne Graham	Sally Hawkins		Sally Hawkins	
William Stentz	David Strathairn		David Strathairn	
Ford Brody	Aaron Taylor-JohnsonCJ AdamsY			
Elle Brody	Elizabeth Olsen			
Joe Brody	Bryan Cranston			
Sandra Brody	Juliette Binoche			
Houston Brooks		Corey Hawkins	Joe Morton	
William Randa		John Goodman		Pictured with archive audio
James Conrad		Tom Hiddleston		
Hank Marlow		John C. ReillyWill BrittainY		
Mason Weaver		Brie Larson		
Preston Packard		Samuel L. Jackson		
San Lin		Jing Tian		
Mark Russell			Kyle Chandler	Kyle Chandler
Madison Russell			Millie Bobby BrownAlexandra RabeY	Millie Bobby Brown
Emma Russell			Vera Farmiga	Pictured
Ilene and Ling Chen			Zhang Ziyi	
Rick Stanton			Bradley Whitford	
Sam Coleman			Thomas Middleditch[a]	
Alan Jonah			Charles Dance	
Diane Foster			Aisha Hinds	
Jackson Barnes			O'Shea Jackson Jr.	
Nathan Lind				Alexander Skarsgård
Ilene Andrews				Rebecca Hall
Jia				Kaylee Hottle
Bernie Hayes				Brian Tyree Henry
Josh Valentine				Julian Dennison
Walter Simmons				Demián Bichir
Ren Serizawa				Shun Oguri
Maia Simmons				Eiza González
Guillermin				Lance Reddick
