Character	Portrayed by	The Fast and the Furious	The Turbo Charged Prelude for 2 Fast 2 Furious	2 Fast 2 Furious	The Fast and the Furious: Tokyo Drift	Los Bandoleros	Fast & Furious	Fast Five	Fast & Furious 6	Furious 7	The Fate of the Furious	Fast & Furious Presents: Hobbs & Shaw	F9
Dominic Toretto	Vin Diesel	Main	Archive		Cameo	Main	Main	Main	Main	Main	Main		Main
Brian O'Conner	Paul Walker †	Main	Main	Main		Photo	Main	Main	Main	Main	Photo		Archive [1]
Letty Ortiz	Michelle Rodriguez	Main				Main	Main	Photo	Main	Main	Main		Main
Mia Toretto	Jordana Brewster	Main				Photo	Main	Main	Main	Main	Photo		Main
Roman Pearce	Tyrese Gibson			Main				Main	Main	Main	Main		Main
Tej Parker	Ludacris			Main				Main	Main	Main	Main		Main
Sean Boswell	Lucas Black				Main				Archive	Cameo			Main
Han Lue	Sung Kang				Main	Main	Main	Main	Main	Archive			Main
Gisele Yashar	Gal Gadot						Main	Main	Main	Archive			
Luke Hobbs	Dwayne Johnson							Main	Main	Main	Main	Main	
Vince	Matt Schulze	Main					Photo	Main	Archive				
Jesse	Chad Lindberg	Main											
Leon	Johnny Strong	Main					Photo						
Monica Fuentes	Eva Mendes			Main				Cameo					
Suki	Devon Aoki			Main						Archive			
Twinkie	Bow Wow				Main					Archive			Main[2]
Neela	Nathalie Kelley				Main				Archive	Archive			
Tego Leo	Tego Calderón					Main	Main	Main	Archive	Archive	Cameo		
Rico Santos	Don Omar					Main	Main	Main	Archive	Archive	Cameo		
Elena Neves	Elsa Pataky							Main	Main	Main	Main		
Ramsey	Nathalie Emmanuel									Main	Main		Main
Mr. Nobody	Kurt Russell									Main	Main		
Little Nobody	Scott Eastwood										Main		
Hattie Shaw	Vanessa Kirby											Main	
Madame M	Eiza González											Main	
Professor Andreiko	Eddie Marsan											Main	
Jonah Hobbs	Cliff Curtis											Main	
Buddy	Michael Rooker												Main
Hector	Noel Gugliemi	Main								Cameo			
Edwin	Ja Rule	Main											
Agent Bilkins	Thom Barry	Main		Main									
Sergeant Tanner	Ted Levine	Main											
Girl	Minka Kelly		Main										
Agent Markham	James Remar			Main									
Orange Julius	Amaury Nolasco			Main						Archive			
Slap Jack	Michael Ealy			Main						Archive			
Jimmy	MC Jin			Main									
Major Boswell	Brian Goodman				Main								
Mrs. Boswell	Lynda Boyd				Main								
Earl	Jason Tobin				Main								Main
Reiko	Keiko Kitagawa				Main								
Elvis	Juan Fernández					Main							
Cara Mirtha	Mirtha Michelle					Main	Main						
Agent Michael Stasiak	Shea Whigham						Main		Cameo				
Agent Penning	Jack Conley						Main						
Agent Sophie Trinh	Liza Lapira						Main						
Agent Wilkes	Fernando Chien							Main					
Agent Fusco	Alimi Ballard							Main					
Agent Chato	Yorgo Constantine							Main					
Agent Macroy	Geoff Meed							Main					
Rosa	Jeimy Osorio							Main					
Jack O'Conner	Max William Crane, Charlie & Miller Kimsey								Main	Main			
Samantha Hobbs	Eden Estrella & Eliana Su'a									Main	Main	Main	
Mando	Romeo Santos									Main			
Agent Sheppard	John Brotherton									Main			
Magdalene Shaw	Helen Mirren										Cameo	Main	Main
Raldo	Celestino Cornielle										Main		
Fernando	Janmarco Santiago										Main		
Brian Marcos Neves	Carlos De La Hoz,James Ayoub										Main		Main
Victor Locke	Ryan Reynolds											Main	
Loeb	Rob Delaney											Main	
Dinkley	Kevin Hart											Main	
Mateo Hobbs	Roman Reigns											Main	
Timo Hobbs	Josh Mauga											Main	
Kal Hobbs	John Tui											Main	
Sefina Hobbs	Lori Pelenise Tuisano											Main	
	Finn Cole												Main
Elle	Anna Sawai												Main
	Vinnie Bennett												Main
	Francis Ngannou												Main
	Ozuna												Main
Leysa	Cardi B												Main
	Jim Parrack												Main
Johnny Tran	Rick Yune	Main											
Carter Verone	Cole Hauser			Main									
D.K. / Takashi	Brian Tee				Main				Archive				
Arturo Braga	John Ortiz						Main		Cameo				
Hernan Reyes	Joaquim de Almeida							Main					
Owen Shaw	Luke Evans								Main	Cameo	Cameo		
Deckard Shaw	Jason Statham								Cameo	Main	Main	Main	
Cipher	Charlize Theron										Main		Main
Brixton Lore	Idris Elba											Main	
Jakob Toretto	John Cena												Main
Lance Nguyen	Reggie Lee	Main											
Enrique	Mo Gallini			Main									
Roberto	Roberto Sanchez			Main									
Morimoto	Leonardo Nam				Main								
Kamata	Sonny Chiba				Main								
Fenix Calderon	Laz Alonso						Main		Archive				
Zizi	Michael Irby							Main					
Agent Riley Hicks	Gina Carano								Main				
Vegh	Clara Paget								Main				
Klaus	Kim Kold								Main				
Jah	Joe Taslim								Main				
Adolfson	Benjamin Davies								Main				
Denlinger	Samuel M. Stewart								Main				
Mose Jakande	Djimon Hounsou									Main	Photo		
Kiet	Tony Jaa									Main			
Kara	Ronda Rousey									Main			
Connor Rhodes	Kristofer Hivju										Main		
